data,acoes_em_circulacao,empresa_chave,empresa,ticker,setor
2025-01-18,592329984,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-02-11,585900992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-02-12,585900992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-02-13,602742016,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-02-13,585900992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-02-25,598360000,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-02-25,585900992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-03-13,585900992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-03-15,585900992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-03-18,585900992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-03-19,585900992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-03-20,585900992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-03-22,591011008,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-03-22,585900992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-03-28,585900992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-04-01,586428032,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-04-01,585900992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-04-04,585900992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-04-05,585900992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-04-09,585900992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-04-10,585900992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-04-11,592476032,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-04-11,585900992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-04-12,585908992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-04-15,585908992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-04-16,585908992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-04-24,585908992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-04-26,585908992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-04-29,585908992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-05-01,585908992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
2025-05-03,585908992,totvs,TOTVS S.A.,TOTS3,Tecnologia da Informação / Software
